Word,V.Mean.Sum,A.Mean.Sum,V.Mean.M,V.Mean.F,A.Mean.M,A.Mean.F,V.Mean.Y,V.Mean.O,A.Mean.Y,A.Mean.O
juice,6.9,4.6,6.85,7,5.43,4.15,7.17,6.56,4.22,4.91
juicer,5.84,4.44,5.73,6,4.25,4.5,6,5.73,4.57,4.36
juicy,07.05,4.7,7.5,6.86,4.45,5,7.12,7,4.89,4.55
juju,4.73,4.12,4.67,4.77,4,4.19,5.25,4.43,4.46,3.77
juke,5,3.3,6,4.62,3.73,2.78,5,5,2.67,3.82
jukebox,6.76,4.9,7.12,6.54,3.6,5.33,6.92,6.5,4.5,5.5
jumbo,4.9,4.24,6,4.62,4.75,4.12,5.25,4.67,4,4.45
jump,6.44,5.14,6.88,6.1,4.57,5.43,6.73,6,5.56,4.83
jump rope,5.74,4.7,5.17,6,4.7,4.7,6.27,5,4.33,5
jumper,4.55,3.76,3.4,4.93,3.67,3.82,4.7,4.4,3.9,3.57
jumpsuit,5.1,3.62,4.67,5.42,3,3.79,4.67,5.42,4.2,3.44
jumpy,4.8,5.45,4.33,5.18,3.8,5.88,4.79,4.83,4.58,6.44
junction,5.21,3.86,4.33,5.38,2.86,4.54,4.71,5.5,3.71,04.08
juncture,5.25,04.08,5.75,4.92,3,4.69,5.17,5.29,4.42,3.77
jungle,5.7,04.06,6.2,5.53,5.8,3.38,5.5,5.9,5.43,3.18
junior,5.36,4.15,5.69,4.89,4.57,3.92,06.08,4.5,4.11,4.18
juniper,6.33,3.27,6.2,6.38,3.83,2.6,5.78,6.89,3.78,2.92
junk,3.57,3.95,4,3.4,4.38,3.67,3.5,3.6,3.3,4.6
junket,4.22,3.5,4.33,4.14,3.1,3.9,4,4.27,2.71,3.92
junkie,2.5,4.62,2.62,2.42,4.67,4.6,2.22,2.73,4.25,5
junky,03.05,4.3,2.33,3.33,3.5,5.1,3,3.25,3.71,4.62
junkyard,04.05,3.95,04.07,4,4.64,3.44,3.2,4.75,3.36,4.6
jurisdiction,4.68,3.95,6,3.5,5,3.25,6,3.92,4.11,3.82
juror,4.65,4.5,4.6,4.67,4.4,4.54,4.9,4.4,5.29,4
jury,4.23,5.2,4.62,3.67,6.29,4.62,3.83,4.7,5,5.36
justice,6.8,5.4,6.59,6.96,5.44,5.38,6.68,6.95,5.84,05.04
justifiable,6.1,3.58,5.67,6.42,3,3.88,6,6.4,3.43,4
justification,5.68,04.09,5.82,6.14,3.88,4.21,5,6.18,3.56,4.46
justify,6.17,3.2,7.2,5.77,2.91,3.56,5.86,6.36,2.67,3.64
juvenile,3.74,3.85,3.85,3.5,4.4,3.67,3.78,3.7,4.57,3.46
kale,5.79,3.29,6.25,5.45,3.89,2.93,6.78,4.9,3.83,2.75
kamikaze,3.58,4.68,3.45,4.14,6,3.93,3,4,4.33,4.92
kangaroo,6.45,4.27,7,6.15,4.3,4.25,6.45,6.44,4.78,3.92
kappa,5.65,2.79,5.57,5.69,2.88,2.73,6,5.33,2.75,2.82
kaput,3.95,4.45,4.42,3.33,4.83,4.29,4,3.94,4.1,4.8
karaoke,6.29,5,6.56,06.08,4.1,5.75,5.57,6.46,5.27,4.73
karate,6.26,4.6,6.62,5.5,6.2,04.07,7,5.6,6,3.85
karma,6.28,4.18,6.1,6.5,3.25,4.46,6.14,6.36,5.5,3.45
karmic,5.63,4.22,5.73,5.5,3.75,4.36,5.62,5.64,4.43,04.09
kayak,5.68,3.77,5,6,4.36,3.18,6,5.25,04.09,3.45
kazoo,5.76,05.05,5.67,5.8,4.38,5.5,4.83,6.13,4.6,5.5
kebab,5.95,3.65,5.83,6,3.12,4,5.44,6.33,3.33,3.91
keel,4.64,4.15,4.11,5,3.4,4.62,4.75,4.57,4.77,3.54
keen,6.72,3.21,7,6.62,3.6,2.78,6.86,6.64,2.89,3.5
keep,6.32,3.43,5.83,6.53,3.71,3.29,6.21,6.57,3.22,3.58
keeper,5.89,3.81,5.6,5.85,4,3.73,5.71,5.82,3.71,3.86
keepsake,6.73,4.43,5.75,7.15,5.75,3.79,6.62,6.62,4.11,4.64
keg,5.65,4.52,5.33,5.91,4.73,4.33,5.71,5.5,4,4.86
kelp,5,3.46,5.75,4.5,3.89,3.2,4.78,5.18,3.92,3
kennel,4.64,3.67,4.71,4.5,3.73,3.89,5.4,4,2.82,4.6
kerchief,5.31,2.95,5.18,5.45,3.44,2.79,5,5.62,3.5,2.62
kernel,5.23,3.87,6,4.46,4.62,3.43,5.25,4.92,3.89,3.86
kerosene,3.86,4,4.12,3.71,4.5,3.69,3.36,4.36,4.22,3.83
ketchup,06.03,3.85,6.88,5.59,3.33,04.07,5.93,06.08,3.67,3.93
kettle,5.67,3.1,4.91,5.94,3.75,2.69,5.48,5.86,3,3.17
key,6.22,3.9,6.24,6.21,4.38,3.62,6.67,5.71,4.44,3.5
keyboard,5.17,3.59,4.9,5,3.88,3.43,5.38,5,3,4
keyhole,5.39,3.96,5.22,5.56,3.86,3.93,5.5,5.3,4.6,3.33
keynote,5.67,3.1,5.75,5.56,3.57,2.86,6.25,5.53,3.7,2.55
keypad,5.65,3,6.17,5.43,3.62,2.58,6.5,05.08,2.89,03.09
keyword,5.6,3.67,5.6,5.6,4.5,3.25,5.9,5.3,3.9,3.38
khaki,05.05,2.64,5.71,4.69,3.1,2.25,4.64,5.56,3.22,2.23
kibble,5.5,3.7,4.82,6.33,4.57,3.23,5.45,5.56,3,4.56
kick,4.55,5.1,04.09,5.11,5.44,4.88,5.27,3.67,5.47,4.78
kickboxing,5.33,4.45,5.33,5.33,4.67,4.47,5.22,5.42,4.4,4.47
kicker,5.11,4.85,4.67,5.19,5,4.79,5.1,5.11,4,5.21
kickoff,4.95,5,4.44,5.36,5.8,4.69,5,4.83,4.17,6
kid,7.23,4.71,5.67,7.87,4.14,5,6.71,8.29,3.89,5.33
kidder,6.38,3.25,6.17,6.47,2.88,3.5,6.33,6.42,3.11,3.36
kiddo,5.65,4.68,5.71,5.62,4.9,4.5,5.45,5.89,5,4.46
kidnap,2.19,5.59,2.6,1.82,5.86,5.47,2.36,2,3.4,6.24
kidnapper,1.77,6.52,1.44,2,6.78,6.38,1.62,1.86,06.08,6.92
kidnapping,02.05,5.36,2.44,1.73,5,5.31,2.36,1.33,4.17,6.67
kidney,4.9,3.95,4.5,5.15,4.4,3.79,4.85,5,04.09,3.75
kids,6.48,5.69,6.44,6.5,5.8,5.6,5.43,6.92,5.8,5.55
kill,1.81,6.81,2.17,1.64,7.29,6.57,2.15,1.14,5.33,7.92
killer,1.74,07.05,1.67,1.77,6.91,7.21,1.6,1.89,6.82,7.13
killing,1.95,5.52,2.22,1.75,5.17,5.83,02.06,1.6,05.07,6.5
killjoy,3.84,4.14,3.78,3.9,4,4.19,3.92,3.67,3.92,4.44
kilo,4.29,3.26,4.4,4.25,3.5,3,3.75,5,3.75,2.14
kilometer,5.52,4.1,5.5,5.54,5,3.8,5.54,5.5,4.42,3.62
kilt,5.12,4.74,5.71,4.88,5.42,4,4.31,06.09,4.56,5.14
kimono,5.9,3.77,5.7,06.09,4,3.67,06.09,5.7,3.6,3.82
kin,5.85,3,5.44,6.18,2.6,3,5.86,5.83,3,2.78
kind,7.78,3.19,7.56,7.79,3.14,3.21,7.5,7.95,3.8,2.64
kindergarten,6.62,03.09,6.67,6.58,3.64,2.58,5.71,6.92,3.18,3
kindling,5.45,04.05,5.57,5.38,5.3,3,4.91,6.11,4.67,3.62
kindness,7.65,3.96,7.43,7.79,3.88,3.94,7.79,7.45,3.69,4.2
kindred,6.47,3.23,5.5,6.92,04.08,2.2,6.2,6.78,4.56,2.31
kinesiology,4.9,3.89,4.6,5,4,3.83,5.5,4.3,4.2,3.5
kinetic,5.11,4.95,4.67,5.31,5.17,4.7,5.3,4.89,5.56,4.54
king,6,4.45,6.71,5.69,4.67,4.27,6,6,4.64,4.16
king snake,3.26,6.64,3.62,03.07,6.5,6.75,4.17,2.27,5.82,7.45
kingdom,6.74,4.2,6.33,6.8,4.7,3.7,6,07.08,4.57,4
kingpin,4.37,5.14,5.4,04.08,4,5.6,5.14,4,5.29,05.07
kink,5.29,4.8,6.17,4.93,5.12,4.58,6.11,4.67,4.56,5
kinky,5.71,5.52,4.8,6,6,5,5.42,6.11,5.12,6.43
kinship,7.53,4.65,6.89,8.1,5,4.6,7.67,7.4,5.1,4.42
kiosk,5,3.35,5.6,4.81,3.92,2.73,4.58,5.56,3.56,2.86
kiss,7.78,06.05,7.93,7.7,5.2,6.75,8.28,7.39,5.64,6.45
kisser,7.33,5.85,8.4,6.92,6,5.67,7.57,7.18,5.89,5.82
kissy,07.06,5.32,7.8,6.75,4.3,6.44,6.71,7.3,5.62,05.09
kit,6.1,3.68,6.22,6,4,3.42,5.71,7,4,3.5
kitchen,6.17,3.52,5.12,7,3.14,3.71,5.55,7.14,2.67,4.17
kite,6.9,4.2,7.27,6.44,6,3.23,7.18,6.56,4.91,3.33
kitten,7.58,3.19,7.32,7.74,4.45,1.8,7.46,7.69,2.67,3.58
kiwi,6.11,3.65,5.92,6.6,4.8,3.27,6.5,5.8,4.14,3.38
klutz,3.81,04.08,4.11,3.58,3.33,4.5,3.75,4,3.79,4.8
knack,5.68,3.77,5.67,5.7,4.88,3.14,5.43,5.83,4,3.58
knapsack,5.3,3.86,5.57,5.15,3.8,3.92,4.73,6,4.44,3.46
knee,4.7,4.25,4.82,4.56,5.29,3.69,4.27,5.22,4.36,4.11
kneecap,4.55,3.74,4.45,4.67,5.29,2.83,4.18,5,4.1,3.33
kneel,4,3.18,4.17,3.92,3.75,2.5,4.5,3.44,3.67,2.85
knick,5,3.45,5,5,4.27,2.44,5.14,4.91,3.33,3.55
knickers,5.74,3.7,6,5.6,4,3.5,5.8,5.69,4,3.45
knife,4.33,4.86,4.83,3.67,05.09,4.6,4.25,4.35,5.88,4.23
knighthood,6.2,4.86,6.11,6.27,5.3,4.5,5.93,6.83,5.38,4.57
knit,5.85,3.35,6,5.67,3.86,03.08,06.09,5.56,4,2.56
knob,5.21,03.05,5.33,5.19,3.38,2.85,4.78,5.6,3.33,2.83
knock,5.44,3.95,4.88,5.9,3.86,4,05.09,6,3.11,4.64
knockoff,3.55,4.22,3.5,3.77,3.75,4.5,2.75,4.23,3.67,4.57
knockout,4.95,5.91,5.83,4.54,6.36,5.45,6.18,3.25,6,5.82
knoll,05.09,3.68,5.25,5,4.5,3,5,5.18,3.82,3.55
knot,4.57,3.84,4.5,4.67,4.69,3.33,5.25,4.41,4.17,3.45
know,6.82,3.24,6.83,6.73,2.43,3.64,6.64,7,3.44,03.08
knowledge,7.28,4.86,7,7.42,5.65,4.14,6.91,7.76,05.06,4.71
knowledgeable,7.95,4.65,7.67,08.07,5.75,3.92,7.67,08.07,5.5,3.8
knuckle,4.68,4.32,4.56,4.8,4.75,04.07,5,4.5,3.9,4.67
knucklehead,3.79,4.82,3.17,04.08,5,4.6,3.9,3.67,4.67,4.92
koala,6.65,3.73,6.33,6.91,3.4,4,6.36,7.33,3.5,3.86
kook,4.5,3.38,4.22,4.69,2.4,4,4,4.79,3.62,3.15
kooky,6.42,5.67,6.2,6.46,5.5,5.73,5.86,6.73,5.86,5.57
kool-aid,6.6,04.09,6.22,6.91,3,4.6,6.64,6.56,4.4,4
kosher,4.68,03.06,4.91,4.38,3.5,2.93,4.38,4.91,3.57,2.73
kraut,4.72,3.55,4.67,4.73,3.9,3.2,5.33,4.42,3.86,3.38
kryptonite,5.21,5.86,6.2,4.92,5.5,6,5.57,05.09,6.43,5.57
kudos,6.95,4.27,7,6.91,3.6,4.5,6.87,7.14,4.5,4
kumquat,6.1,2.75,6.14,06.08,2.56,2.91,5.5,6.56,2.5,2.92
lab,4.57,4.35,4.54,4.62,4.86,04.08,4.75,4.33,4.67,04.09
label,4.79,3.38,5.4,4.54,3.67,3.27,4.29,05.09,3.57,3.29
labor,4.74,5.23,5.11,4.4,5.5,05.07,5.71,4.17,4.7,5.67
laboratory,5.14,4.38,5.14,5.12,5,4,5.1,5.17,3.82,5
laborer,4.71,04.08,5.33,4.25,3.7,4.31,5.14,4.5,4.54,3.62
labyrinth,4.84,4.24,4.33,4.94,4.83,4,5.1,4.56,4.29,4.21
lace,6.58,3.75,6.33,6.53,2.6,4.9,6.5,6.5,4.57,3.31
laceration,3.43,6.67,3.42,3.44,7.14,6.43,3.75,3.35,6.3,7
lack,3.68,2.24,4.33,3.56,2.14,2.23,4,3.5,2.29,2.15
lackey,4.32,4,5.33,4.12,4.38,3.77,4.11,4.5,4.22,3.83
lacquer,4.95,3.3,4.91,5,03.09,3.5,4.8,05.09,2.91,3.67
lacrosse,5.29,3.7,6.6,4.75,4.45,2.78,5.43,5.2,2.89,4.36
lactose,4.44,3.44,5,04.07,2.67,3.67,4.28,4.86,3.14,3.8
lad,6.19,3.6,6.38,06.08,3.6,3.6,6.31,6,3.92,3.12
ladder,5.32,04.09,4.78,5.8,4.14,4,5.44,5.2,4.5,3.67
laddie,5.5,4.32,5,5.69,4.38,4.27,5.25,5.8,3.9,4.78
ladle,5.11,2.82,4.5,5.38,3.42,2.1,4.9,5.33,3.22,2.54
lady,6.91,04.05,7.33,6.73,4.86,3.64,6.86,7,3.22,4.67
lady bug,7,3.38,6,7.18,2.29,3.92,6.29,7.38,2.71,3.69
ladybug,6.9,3.45,7,6.85,3.44,3.45,6.4,7.33,2.62,4
ladylike,5.68,3.77,5.67,5.69,4.55,3,5.36,6.12,3.18,4.36
ladyship,6.24,3.45,5.55,7,3.7,3.25,6.5,6,3.6,3.33
lag,3.9,4,4,3.83,2.8,4.75,4.29,3.71,4.92,03.08
lager,5.4,3.11,5.2,5.47,3.67,2.83,5.6,5.2,3.7,2.38
lagoon,6.23,3.56,5.4,6.38,3.5,3.6,6,6.5,3,4.25
lair,5,5.35,04.09,6.11,4.71,5.69,5.18,4.78,5.27,5.44
lake,7.13,2.64,07.05,7.24,2.95,2.35,7.17,07.06,2.8,2.5
lamb,6.3,3.32,6.12,6.43,3.8,2.92,6.1,6.53,2.82,3.82
lame,3.2,2.74,2.86,3.38,2.5,2.91,3.2,3.22,2.29,3
lament,4.16,3.33,4.73,3.38,3.25,3.36,4.5,3.91,3,3.55
lamp,5.74,2.71,5.42,5.77,2.44,2.96,5.73,5.61,3,2.5
lamppost,5.29,2.76,5.25,5.33,4.14,02.07,6.5,5,3.2,2.36
lance,4.7,3.6,5.25,4.56,4.75,3.31,4.88,4.58,3.44,3.73
lancer,4.58,3.25,4.55,5.14,4,2.85,3.88,05.09,2.43,3.69
land,6.61,03.05,6.12,7,2.43,3.36,6.73,6.43,2.56,3.42
landfall,4.95,3.45,5.45,4.71,3.75,3.29,4.12,5.55,3.11,3.69
landfill,3.14,3.65,2.12,3.77,4.2,3.47,2.85,3.62,4,3.12
landing,05.09,3.62,5.44,4.85,3.1,3.94,4.75,5.29,4.15,03.08
landlady,4.1,4.9,4,4.13,5,4.83,3.67,4.27,5.4,4.4
landlord,3.5,3.95,2.8,4.2,3.88,4,2.44,4.36,4.15,3.62
landmark,6,4.15,6.36,5.56,4.71,3.85,5.82,6.22,4.64,3.56
landscape,7,3.75,7,7,4.12,3.5,7,7,3.44,4
landscaping,6.58,4,6.9,6.22,3.86,04.08,6.7,6.44,4.36,3.56
landslide,4.76,5.89,5.25,4.46,6,5.85,4.69,4.88,6.64,4.71
lane,5.29,3.95,5.62,4.75,4.71,3.54,5.5,5,4.33,3.64
language,6.38,3.7,5.92,7.12,5,3,6,6.89,4.22,3.27
lanky,5.71,4.32,5.75,5.69,6,3.71,6,5.25,4.83,3.43
lantern,5.37,3.21,5.33,5.38,3.47,3,5.8,4.89,2.94,3.38
lap,5.89,3.45,5.73,5.86,4,3.14,5.75,6,3.78,3.23
lapdog,6.45,3.2,6,6.64,3,3.33,7,6,3.22,3.18
lapel,5.74,3.17,5.11,6.3,3.14,3.2,5.44,6,4.3,2.25
lapse,4.35,3.11,4.6,4.27,3.67,2.83,4.4,4.3,3.2,3
laptop,6.95,4.62,7.25,6.77,5.83,4.22,7.33,6.44,5.2,4.21
larceny,3.1,5.44,2.8,3.2,6.8,4.92,3.5,2.7,6.14,5
lard,3.55,2.95,3.43,3.62,3.78,2.27,3.6,3.11,3.62,2.5
large,5.77,5.35,6,5.44,6.29,4.85,6.67,4.7,5.78,5
lark,5.19,3.52,5.45,4.9,3.36,3.67,4.5,5.82,3.82,3.25
laryngitis,3.14,3.56,3.38,2.75,4.25,3.36,3.11,3.17,3.29,3.73
larynx,4.45,4,4.62,4.54,4.62,3.64,4.38,4.69,4.22,3.86
lasagna,7.1,05.04,6.62,7.42,5.78,4.6,7.56,6.73,5.83,4.25
laser,5.64,05.09,6.45,4.82,5,5.14,6.12,5.36,4.4,5.67
lash,4.63,4.65,5,4.67,5.7,3.6,5,4.58,5,4.46
lass,5.42,4.24,4.67,5.77,4.58,3.78,5.6,5.22,4.56,4
lasso,5.33,4.67,5.58,5,4.86,4.57,5.75,5.24,5.3,04.09
lasting,6.67,3.33,6.58,6.78,4.29,2.86,8.25,6.29,3.6,03.09
latch,5,03.09,5.36,5,3.62,2.79,4.25,5.55,3.11,03.08
late,3.32,5.57,3.33,3.27,4.86,5.93,3.29,3.29,5.33,5.75
latent,4.48,03.04,5,4.15,3.83,2.78,4.42,4.56,3.5,2.71
lateral,5.43,4.11,5.67,5.33,4.38,3.91,6.22,4.83,3.78,4.4
latex,3.95,3.72,4.2,3.87,5.8,2.92,4,3.9,5.43,2.64
lather,5.57,4.39,5.75,5.17,5,3.93,5.71,5.23,3.78,4.79
latitude,4.82,3.74,5.62,4.62,4.25,3.36,5.25,4.85,4,3.57
latrine,4,3.82,5,3.46,3.9,3.75,4.18,3.78,4.44,3.38
latte,6.45,4.79,5.88,6.83,4.5,4.89,6.36,6.56,6.2,3.79
laugh,7.56,6.62,6.75,8.2,5.14,7.36,7.36,7.86,7.33,06.08
laughable,6.21,5.6,6.46,5.67,7,5.13,7,5.5,7.29,4.69
laughingstock,3.77,5.16,5.2,3.38,6,4.55,3.25,4.4,5.2,5.11
laughter,08.05,5.39,7.75,8.28,5.81,5.11,7.86,8.39,5.57,5.24
launch,6.4,5.26,6,6.73,5.27,5.25,6.14,7,5.22,5.29
launcher,5.38,4.39,5.67,5.17,4.55,4.25,6.29,4.85,5,3.83
launder,5.15,3.57,4,5.35,4.71,3,5,5.23,4.43,3.15
laundering,5.3,3.71,5.75,5.19,3.75,3.71,4.75,5.67,4.1,3.36
laundry,5.15,4.5,5.57,4.92,4.75,4.25,5.38,5,5.43,3.2
lava,4.33,5.26,4.73,3.9,05.09,5.42,4.7,4,5,5.5
lavatory,5.18,4.21,5.6,05.06,4.12,4.27,5,5.4,5.1,3.22
lavender,6.9,3.81,6.7,7.1,3.88,3.77,6.78,7,4.31,3
lavish,6.79,4.88,7.36,6.61,5,4.8,7.38,6.23,04.09,5.89
law,4.55,3.55,4.33,4.6,3.43,3.62,4.71,4.14,3.56,3.55
lawful,6.26,3.7,6.14,6.33,4,3.45,6.1,6.5,3.12,04.08
lawless,3.1,4.17,3.33,2.92,4.27,04.08,4.43,2.31,4.55,3.83
lawlessness,2.61,4.73,2.5,2.67,4.42,5.1,3.1,2,4.67,4.77
lawman,4.79,4.14,4.33,5,5.25,2.8,5.2,4.33,5.11,3.46
lawn,06.05,2.62,5.33,6.2,3.25,2.23,5.33,6.42,3,2.33
lawnmower,5.48,2.92,6,05.08,2.67,3.11,5.81,4.4,2.93,3.1
lawsuit,2.84,5.39,3.67,2.69,5,5.71,2.8,2.89,5.1,5.7
lawyer,3.94,3.95,3.25,4.5,4.14,3.85,3.27,5,3.22,4.55
lax,4.43,3.12,4.44,4.42,2,3.81,4.38,4.46,3.69,2.54
laxative,3.1,4.14,4.11,2.33,3.5,4.36,3.67,2.67,4.8,3.94
lay,6.18,3.7,6.15,6.22,4.43,3.31,6.58,5.7,3.89,3.55
layaway,5.29,3.9,5.27,5.3,3.89,3.92,5.4,5.18,4.67,3.33
layer,5.2,3.45,5.14,5.23,4,3,4.73,5.78,3.67,3.31
layman,5.1,3.48,5.75,4.67,3.17,3.61,5.27,4.6,03.07,4.1
layout,4.95,3.52,5.2,4.88,04.08,2.91,4.83,5.11,3.69,3.14
layover,3.37,4.1,3,3.44,3.5,4.33,3.3,3.44,3.86,4.21
laziness,3.9,2.76,3.56,4.17,2.17,03.07,4.78,3.25,2,3
lazy,03.05,03.05,2.17,3.46,2.88,3.14,3.3,2.78,3.5,2.67
lead,5.56,3.95,4.5,6.4,4.29,3.77,4.91,6.57,3.56,4.27
leaded,4.52,3.52,4.73,4.3,4.27,2.83,4.5,4.55,3.91,3.17
leader,6.24,4.96,06.07,6.32,5.24,4.73,6.61,5.96,5.29,4.47
leadership,6,4.76,6,6,5.5,4.59,6.38,5.75,5,4.55
leaf,6.16,03.05,5.67,6.38,3,03.09,5.82,6.62,2.82,3.27
leafy,5.95,3.57,5.8,6.1,3.5,3.62,5.33,6.45,4.38,2.25
league,5.35,4.25,05.09,5.67,5.57,3.54,5.36,5.33,3.91,4.67
leak,4,5.43,3.8,4.15,5.5,5.4,4.43,3.82,5.43,5.43
leakage,3.52,5.23,3.89,3.25,5.17,5.2,4.11,03.08,4.4,5.47
leaky,3.95,4.33,4.21,3.5,4.82,4,4.3,3.67,3.73,5
lean,6.35,3.32,5.75,6.75,2.67,3.5,6.2,6.8,2.93,3.8
leap,4.8,4,5.12,4.58,4,4,4.33,05.08,3.64,4.33
learn,6.85,4.8,7.17,6.38,05.06,4.63,8,6.65,5.19,4.43
learner,6.4,4.23,6.67,6.18,4.7,3.83,6.14,7,4.75,3.93
lease,4.75,3.23,4.56,4.91,2.2,3.56,4.79,4.67,3.17,3.33
leash,5.25,3,3.5,5.69,3.75,2.82,5.75,4.92,3.7,2.36
leather,5.84,3.57,5.92,5.71,4.57,03.07,6,5.8,4.3,2.91
leave,4.68,4.48,4,4.87,3.86,4.79,4.57,4.71,4.78,4.25
lecherous,3.33,3.79,3.5,3.21,4.5,3.56,3.38,3.27,4.5,3.29
lecture,4,3.16,4,4,3.25,03.09,4.44,3.67,3.11,3.2
lecturer,4.42,3.48,4.6,4.22,3.55,3.42,4,4.89,4.18,2.83
ledge,5.24,4.95,5.11,5.33,6.33,4.4,5.33,5.17,4.6,05.06
ledger,5.33,3.24,4.8,5.42,3.67,03.07,5.14,5.3,3.71,3
leech,2.43,04.09,3.22,1.83,4.3,3.92,2.57,2.46,5,3.18
leeway,5.26,3.88,4.88,5.55,4,3.8,5,5.5,4,3.75
leftover,4.59,4.27,4.78,4.46,3.4,4.81,5.12,4.29,4.54,4
leftovers,5.29,3.4,6,4.75,2.6,3.93,5.86,5,3.75,03.08
lefty,5.7,3.33,4.7,6.7,4,3,5.36,6.11,3.4,3.31
leg,6.22,2.75,5.25,7,2.57,2.85,5.73,7,2.67,2.82
legacy,7.38,4.75,8,7,4.85,4.64,8,6.92,5.57,3.6
legal,5.24,3.35,5.62,4.62,3.71,3.15,5.58,4.78,2.78,3.82
legend,6.86,5.13,6.59,07.04,5.86,4.93,6.72,7.15,5.3,5.17
legendary,6.86,6.61,5.8,7.31,7.12,6.2,6.33,7.5,5.9,7.5
legion,5.32,4.18,5.64,4.29,5.75,3.29,5.25,5.36,4.33,04.08
legislation,3.55,04.09,4.2,3.33,5.27,2.91,3.73,3.33,4.13,4
legislature,3.55,3.22,3,3.73,4,2.83,4.3,2.8,3.5,2.88
legit,6.85,4.8,7,6.67,5.57,4.38,7.73,5.78,4.73,4.89
legitimacy,5.55,04.09,6.22,5,3.8,4.31,5.5,5.67,3.67,4.89
legitimate,5.7,3.94,5.57,5.75,4.2,3.85,5.55,5.83,5.57,2.91
lego,6.14,05.05,6.5,6,6,4.42,6.5,6,5.8,4.3
legwork,4.86,3.5,5.44,4.42,2.83,3.73,5.56,4.33,4.2,3.29
leisure,7.4,4.48,7.5,7.33,5,3.92,7.88,07.09,5.36,3.36
leisurely,6.92,3.6,7.13,6.79,3.71,3.5,6.83,07.07,3.57,3.63
lemon,6.37,4.52,5.67,6.5,4.62,4.46,6.56,6.2,4.67,4.42
lemonade,07.05,4.63,6.4,7.38,5.25,4.18,6.92,7.2,4.4,4.89
lend,4.95,3.22,5.6,4.71,3.8,3,5.6,4.22,3.86,2.82
length,5.21,3.41,5.43,05.08,4.3,2.67,5,5.44,4,3
lengthy,4.4,3.39,4.89,4,3.82,3,4.29,4.67,4,3
leniency,5.8,3.78,5.4,5.93,3.2,4,6.1,5.5,3.57,3.91
lenient,5.52,3.61,5.55,5.5,3.91,3.33,5.4,5.64,4.27,3
lens,5.42,2.95,5.82,5.14,3.88,2.43,5,5.73,2.67,3.15
leopard,6.43,6.26,5.4,6.8,6.62,6,6.42,6.44,6.5,6
leotard,5.1,3.95,5,5.15,5.11,3,5,5.56,4.12,3.83
leper,3.3,4.24,4.25,03.06,4.25,4.24,4.38,2.58,4.5,4
leprechaun,6,5.11,4.8,6.5,3.88,6,5.67,6.4,5.4,4.78
leprosy,2.25,4.38,2.5,02.08,3.82,4.68,2.65,1.79,4.27,4.74
lesbian,5.76,06.04,6.24,5.44,7,5.17,6.14,4.92,6.64,5.5
lesion,2.95,5.62,3.8,2.69,5.33,5.73,3,3,5.57,5.64
lessen,4.5,04.08,4.71,4.38,4.23,3.91,4.14,5,4.93,2.9
lesson,5.57,3.8,5.77,5.25,4.43,3.46,5.75,5.33,3.89,3.73
let,5.95,2.71,5.83,5.93,2.43,2.86,5.57,6.57,2.89,2.58
lethal,2.48,5.64,3,2.31,6.42,4.7,2,3.11,5.69,5.5
letter,5.68,3.19,5.67,5.73,3,3.29,6.67,5.25,3.6,2.82
letterhead,4.68,3.27,4.67,4.7,2.6,3.62,5,3.8,3.58,3.11
lettering,5.14,3.12,4.67,5.5,3.83,2.78,05.06,5.4,3.14,2.9
lettuce,5.84,3.64,5.22,6.4,3.57,3.71,5.56,6.1,5.3,2.18
leukemia,1.47,5.75,1.54,1.33,4.6,6.13,2,1,5.57,5.85
levee,05.09,4.26,5.2,05.06,4.5,04.09,4.92,5.3,4.8,3.67
level,5.72,2.15,4.88,6.4,2,2.23,5.18,6.57,1.56,2.64
lever,4.5,2.56,4.4,4.53,3,2.38,5,4,2.86,2.36
leverage,4.9,04.08,5.62,4.46,5.67,3.56,4.83,5,4.8,3.57
levitate,5.4,6.1,5.73,5,4.86,6.77,5.36,5.44,06.09,6.11
lewd,3.58,4.41,3.44,3.7,3.6,4.56,3.77,3.17,4,4.78
liability,3.45,4.58,4.2,3.12,5.25,04.09,3.17,3.8,4.7,4.44
liable,4,4.32,4.86,3.54,3.7,4.83,3.73,4.33,4.22,4.38
liaison,05.05,3.35,5.29,4.92,3.11,3.55,4.8,5.38,3,3.58
liar,2.41,6.6,3.15,1.33,6.71,6.54,2.67,2.1,6.67,6.55
libel,3.68,5,4,3.5,4.67,5.13,3.88,3.54,5.43,4.79
liberate,5.79,5.32,4.5,6.38,5.5,5.1,6.3,5.22,6,4.85
liberating,7.75,5.3,8.27,7.11,6.29,4.77,7.82,7.67,4.91,5.78
liberation,6.74,5.29,5.8,07.08,5.5,5.2,6.29,7,5.29,5.29
liberty,7.2,4.5,7.28,7.13,4.43,4.57,7,7.73,4.5,4.5
libido,6.86,5.68,7.33,6.5,4,6.27,6.89,6.83,6.2,5.53
librarian,6.38,1.75,6.88,06.08,2.5,1.5,6.33,6.44,2.1,1.5
library,6.33,2.52,4.33,6.73,2.83,2.4,6.6,6,2.14,2.71
lice,2.24,5.2,2.8,02.07,5,5.39,2.37,2.14,4.27,6.14
license,5.91,4.7,5.23,6.89,4.71,4.69,6.33,5.4,4.78,4.64
lick,6.38,6.2,6.75,6.15,7.4,5.8,6.85,5.62,6.42,5.88
