Word,V.Mean.Sum,A.Mean.Sum,V.Mean.M,V.Mean.F,A.Mean.M,A.Mean.F,V.Mean.Y,V.Mean.O,A.Mean.Y,A.Mean.O
flip flop,4.76,04.04,4.8,4.75,4.83,3.18,4.25,5.44,4.19,3.71
flipper,5.84,03.05,6.15,5.17,4.2,2.67,6.44,5.3,4.14,2.46
flipping,5.33,3.95,5,5.46,3.91,4,5.57,5.18,3.44,4.36
flirt,6.73,5.93,7.6,6.52,5.55,6.19,7.11,6.43,5.69,6.56
flirtation,5.78,6.29,6,5.75,7,5.85,6,5.56,6.67,6
flirty,6.52,5.91,6,6.92,6.18,5.67,5.71,6.92,6,5.83
float,6.42,3.1,6.4,6.38,3.5,2.93,6.29,6.45,3.14,03.07
floater,4.2,03.06,3.2,4.53,4.8,2.38,4,4.4,3.43,2.82
flock,5.25,3.48,4.67,5.35,3,3.85,5,5.38,3.57,3.54
flood,2.76,5.31,3.22,2.42,5.38,5.21,4,02.08,5.17,5.41
floor,5.14,3.33,5,5.2,3,3.5,05.07,5.29,3.67,03.08
flooring,5.32,3,5.38,5.22,3.73,2.33,4.82,5.71,2.55,3.5
floozy,3.95,4.89,4.8,3.62,4.25,5.36,4.33,3.5,5.5,4.22
flop,3.95,3.41,3.75,04.07,4,2.92,3.73,4.18,2.73,04.09
floppy,4.61,4.45,3.83,5,4.75,4.1,4.78,4.44,5,04.08
floral,7.42,2.73,6.33,7.92,2.36,03.09,7.27,7.62,2.36,03.09
florist,6.55,3.19,6.9,6.2,3.38,03.08,6.22,6.82,3.69,2.38
floss,5,3.48,5.18,4.8,3.55,3.42,4.5,5.45,3.64,3.33
flotation,5.6,3.61,5.62,5.58,3.44,3.71,5.11,6,04.09,3.17
flounder,5.32,4,4.56,6,5,3.5,5.67,5,4.67,3.5
flour,5.25,3.26,4.8,5.4,3.25,3.27,05.09,5.44,3.25,3.29
flourish,7.21,5.22,7,7.4,4.86,5.6,7.67,6.8,4.9,5.75
flow,5.68,3.71,5.33,5.75,4.57,3.31,5.43,5.83,4.57,3.31
flower,7.3,3.67,7,7.55,4,3.47,6.43,7.67,3.92,3.44
flowery,7.47,3.81,7,7.56,3.38,04.08,8.22,6.8,4,3.67
flu,2.58,4,2.25,2.67,3.75,04.06,2.25,2.82,4.1,3.91
flue,4.45,2.86,4.75,4.38,2.75,2.88,5,04.08,3.3,2.45
fluent,6.53,3.9,6,6.62,3.88,3.92,6.56,6.5,4.56,3.42
fluff,6.18,3.54,6.22,6.15,3.3,3.69,6.62,5.93,3.85,3.23
fluffy,7.11,3.45,6.67,7.5,2.4,3.94,7.21,6.8,3.42,3.78
fluid,05.05,04.04,5.67,4.62,2.6,4.94,5.5,4.79,4.46,3.62
fluke,4.3,4.94,4.2,4.33,5.8,4.62,4.8,3.8,6,4.27
flunk,1.95,3.72,2.12,1.85,3.23,4.25,2,2,3.79,3.64
flunky,2.89,3.15,2,3.2,2.7,3.6,3.5,2.75,2.14,3.69
fluorescent,5.16,3.85,6.67,5,3.8,3.9,5.33,5.25,4.71,3.38
flurry,5.68,4.18,5.38,5.86,4.4,4,5.45,5.91,4.18,4.18
flush,4.67,4.35,5.17,4.47,5.12,3.83,4.33,4.8,5.2,3.5
flute,6.29,3.72,6.33,6.25,4,3.56,6.38,6,3.5,3.9
flutter,5.7,4.86,5.33,6,4.2,5.25,6.14,4.67,3.92,6.44
flux,4.17,4.18,4.33,04.08,4.5,3.8,4.6,3.62,4.56,3.92
fly,06.06,4.9,5.88,6.2,5.29,4.71,6.36,5.57,5.11,4.75
flyboy,4.7,4.33,4.9,4.5,4.25,4.38,4.33,5,5.15,3
flyer,4.95,3.76,05.08,4.78,4.57,3.36,5,4.94,3.9,3.64
foam,5.25,2.9,5.33,5.24,3,2.86,5.57,05.08,3,2.82
focal,4.85,3.94,5,4.8,4.83,3.5,5.6,4.1,4.9,2.75
focus,6.48,4.45,6.23,6.88,5.14,04.08,6.25,6.78,4.89,04.09
foe,3.15,4.71,3.75,2.75,4.22,5,2.44,3.73,4.33,05.08
